Producto;ProdNombre;Division;Estilo ID;Categoria;Grupo;Marca;UltFecha_EC;SaldoUND_EC;UltFecha_DS;SaldoUND_DS
204366;CREMA CORPORAL NIVEA 400ML PROTECCION SOLAR FPS 15;CUIDADO PERSONAL;528333;HIGIENE PERSONAL;CREMA CORPORAL;NIVEA;46128;33;;0
209485;CAMISETA T-L TIPO POLO P/HOMBRE BLANCO;PACER;3437 BLANCO-L;PACER HOMBRE;CAMISETA P/HOM PACER POLO BASICA;PACER;46083;4;;0
C110243;ALICATE;BELLEZA;26918-1231;ACCESORIOS P/MANOS Y PIES;ALICATE;YIWU LYFHON;45597;200;46086;1
224196;CARTULINA SURTIDA PREMIUM 22X28 170G;GRUPOS XXXNO USARXXX;233439a;GRUPOS XXXNO USARXXX;CARTULINA;;44569;40;;0
385361;BANCO P/NIÑO Y NIÑA;BEBE;36100-XL-034;DORMITORIO P/BEBE;BANCOS P/NIÑO (A);YIWU LYFHON;45885;72;;0
C141251;TENIS P/NIÑO INF;CALZADO;C9 MNY;CALZADO INFANTIL P/NIÑO;TENIS P/NIÑO INF DEPORTIVO;MINAYA;45741;2;46036;2
405071;VIANDA;HOGAR;BX-1002;COCINA;VIANDA PLASTICA MEDIANA;YIWU LYFHON ;44447;1;;0
C184958;BOLIGRAFO;ESCOLAR;21543-316-33;UTILES ESCOLARES;BOLIGRAFO;YIWU LYFHON;45951;44;46021;22
432049;DESODORANTE AERO DOVE 150ML TONO UNIFORME COCO;CUIDADO PERSONAL;41190-1;HIGIENE PERSONAL;DESODORANTE P/DAMA;DOVE;45964;1;;0
433150;PLATO SOPERO MELAMINA 8;HOGAR;BG-839-8CB;COCINA;PLATO SOPERO MELAMINA #8;BIG HOME;46093;174;;0
445749;DESODORANTE BARRA REXONA 45G ACTIVE DRY;CUIDADO PERSONAL;76382;HIGIENE PERSONAL;DESODORANTE P/HOMBRE;REXONA;46110;674;46086;72
468912;BLOQUEADOR SOLAR P/NIÑOS 100 SPF60;CUIDADO PERSONAL;006-X2088;HIGIENE P/BEBE;BLOQUEADOR SOLAR P/BEBE;XGM;44879;2;;0
478370;CUADERNO DE TAREA D/L 160PAG C/I IBOOK ECO;ESCOLAR;242975;UTILES ESCOLARES;CUADERNO;;45296;1;45668;1
C066896;ZAPATO P/NIÑO JUV CASUAL;CALZADO;TT052-J;CALZADO JUVENIL P/NIÑO;ZAPATOS P/NIÑO JUV CASUAL;SKANDALO;45562;3;46087;2
C001156;CARTERA P/DAMA T-S;ACCESORIOS;12061-230423-10;ACCESORIOS PERSONALES;CARTERA P/DAMA T-S;YIWU LYFHON;45122;4;46140;0
194268;FALDA ESCOLAR AZUL MARINO C/BOLSA INF 8;ESCOLAR;FALD/UNIFBOL-8;UNIFORMES;FALDA ESCOLAR;FUROR;46093;49;;0
234112;DESODORANTE BARRA SPEED STICK 51G POWER FRESH;CUIDADO PERSONAL;40221;HIGIENE PERSONAL;DESODORANTE P/HOMBRE;SPEED STICK;45990;80;46086;1
225682;LENTES SURTIDO P/DAMA;ACCESORIOS;LENTES/DA;ACCESORIOS DE BELLEZA;LENTES P/DAMA;YIWU PASSION;42762;1;;0
240401;FLOR PARA ROPA;MERCADERIA DE CONSUMO;27668-3;MERCADERIA DE CONSUMO;MERCADERIA DE CONSUMO;YIWU PASSION;42971;308;;0
314933;BLOQUEADOR SOLAR KID WOKALI 45ML SPF/UVA35+ MANGO;CUIDADO PERSONAL;WKL327;HIGIENE PERSONAL;BLOQUEADORE SOLAR ;WOKALI;45647;2;;0
382154;TINTE REVEL COLOR 2 TUBOS NEGRO AZULADO 0.11;CUIDADO PERSONAL;3382146;HIGIENE PERSONAL;TINTE P/CABELLO;REVEL COLOR;46128;7468;;0
427057;TALCO MEDICADO HIPOALERGENICO 10 onz;CUIDADO PERSONAL;92309;HIGIENE PERSONAL;TALCO PARA PIE;NESSRIN;46123;215;;0
483909;BALSAMO LABIAL STRAWBERRY;BELLEZA;LS161F-3;MAQUILLAJE;BALSAMO LABIAL;USHAS;46050;432;;0
489437;BLUSA P/DAMA M/C BOTONES D/VESTIR;ROPA;BL-9432/MC;DAMA;BLUSA P/DAMA BOTONES M/C ;SOFIA´S;;1;45611;1
C161280;LENTES D/SOL P/NIÑA;ACCESORIOS;23082-314-80;ACCESORIOS DE BELLEZA;LENTES P/NIÑA;YIWU LYFHON;45849;120;46081;1
491873;TAZA D/VIDRIO 8X11CM COHETE;HOGAR;AB1511;COCINA;TAZA D/VIDRIO MODA;YIWU LYFHON;45302;1;;0
497651;TABLA P/PICAR PLASTICA 34X23CM 7mm;HOGAR;NS203889;COCINA;TABLA P/PICAR PLASTICA MEDIANA 26 A 35CM;S/M;46130;39;;0
C030026;HEVILLA P/NIÑO JUV;ACCESORIOS;45143-020823-3;ACCESORIOS PERSONALES;HEVILLA P/FAJA P/HOMBRE;YIWU LYFHON;45248;18;;0
