Producto;ProdNombre;Division;Estilo ID;Categoria;Grupo;Marca;UltFecha_EC;SaldoUND_EC;UltFecha_DS;SaldoUND_DS
001570;QUITA ESMALTE ORIGINAL 4ONZ             ;BELLEZA;2001520;ACCESORIOS P/MANOS Y PIES;QUITA ESMALTE;;15/3/2026 00:00;526;;0
001571;QUITA ESMALTE LIMON 4ONZ                ;BELLEZA;2001506;ACCESORIOS P/MANOS Y PIES;QUITA ESMALTE;;15/3/2026 00:00;449;;0
001577;TALCO ODORIT 120GR FRESH                ;CUIDADO PERSONAL;21870;HIGIENE PERSONAL;TALCO PARA PIE;ODORIT;15/3/2026 00:00;46;;0
001702;DESODORANTE ROLL-ON ODORIT 60ML FRESH    ;CUIDADO PERSONAL;06860;HIGIENE PERSONAL;DESODORANTE P/DAMA;ODORIT;15/3/2026 00:00;925;15/3/2026 00:00;51
C130629;DIADEMA P/DAMA FINA;ACCESORIOS;3769-116-10;ACCESORIOS DE CABELLO;DIADEMA P/DAMA FINA;YIWU LYFHON;23/2/2025 00:00;4;21/8/2025 00:00;3
001704;DESODORANTE ROLL-ON ODORIT 60ML FLORAL   ;CUIDADO PERSONAL;15916;HIGIENE PERSONAL;DESODORANTE P/DAMA;ODORIT;15/3/2026 00:00;391;15/3/2026 00:00;2
001705;DESODORANTE ROLL-ON ODORIT 60ML POWDER;CUIDADO PERSONAL;6846;HIGIENE PERSONAL;DESODORANTE P/DAMA;ODORIT;15/3/2026 00:00;313;;0
001709;DESODORANTE ROLL-ON ODORIT 60ML EXREME SPORT    ;CUIDADO PERSONAL;17354;HIGIENE PERSONAL;DESODORANTE P/HOMBRE;ODORIT;10/11/2025 00:00;59;5/3/2026 00:00;93
001722;CREMA CORPORAL NUTRINE 399ML FLOWERY;CUIDADO PERSONAL;12656;HIGIENE PERSONAL;CREMA CORPORAL;NUTRINE;15/3/2026 00:00;31;15/3/2026 00:00;271
001912;CAMISETA T-L C/R P/CABALLERO BLANCA;PACER;3039 BLANCO-L;PACER HOMBRE;CAMISETA P/HOM PACER C/R BASICA BLANCA;PACER;5/5/2026 00:00;566;;0
001916;CAMISETA T-M P/HOMBRE S/M BLCA;PACER;3539 BLANCO-M;PACER HOMBRE;CAMISETA P/HOM PACER S/M BLANCA BASICA;PACER;5/5/2026 00:00;826;;0
001107;FAJA P/NIÑO INFANTIL GREGORIS ;ACCESORIOS;FAJA-INF-H;ACCESORIOS PERSONALES;FAJA P/NIÑO INF;GREGORIS;1/5/2026 00:00;101;;0
001438;ACTIVADOR COLOR KOLESTON 55ML VOL.20 ;CUIDADO PERSONAL;38906;HIGIENE PERSONAL;PEROXIDO;;7/5/2025 00:00;3;;0
001574;QUITA ESMALTE LIMON 2ONZ;BELLEZA;17613;ACCESORIOS P/MANOS Y PIES;QUITA ESMALTE;;15/3/2026 00:00;453;;0
001578;TALCO ODORIT 120GR ORIGINAL;CUIDADO PERSONAL;21863;HIGIENE PERSONAL;TALCO PARA PIE;ODORIT;15/3/2026 00:00;211;15/3/2026 00:00;254
001708;DESODORANTE ROLL-ON ODORIT 60ML PLATINUM ICE ;CUIDADO PERSONAL;17385;HIGIENE PERSONAL;DESODORANTE P/HOMBRE;ODORIT;6/4/2024 00:00;25;5/3/2026 00:00;22
001723;CREMA CORPORAL NUTRINE 399ML ALOE VERA ;CUIDADO PERSONAL;12649;HIGIENE PERSONAL;CREMA CORPORAL;NUTRINE;15/3/2026 00:00;14;15/3/2026 00:00;55
001917;CAMISETA T-S P/HOMBRE S/M BLCA;PACER;3539 BLANCO-S;PACER HOMBRE;CAMISETA P/HOM PACER S/M BLANCA BASICA;PACER;5/5/2026 00:00;104;;0
C160347;CREMA CORPORAL SCENTIA 250G BABY ORGANICS ;CUIDADO PERSONAL;09235;HIGIENE PERSONAL;CREMA CORPORAL;SCENTIA;21/12/2025 00:00;265;5/3/2026 00:00;55
001918;CAMISETA T-M P/CABALLERO C/V BLCO;PACER;3138 BLANCO-M;PACER HOMBRE;CAMISETA P/HOM PACER C/V BASICA BLANCA;PACER;5/5/2026 00:00;144;;0
001921;CAMISETA T-XL P/CABALLERO C/V BLCO;PACER;3138 BLANCO-XL;PACER HOMBRE;CAMISETA P/HOM PACER C/V BASICA BLANCA;PACER;5/5/2026 00:00;48;;0
C087824;CONJUNTO P/NIÑO INF CAMISETA C/R+SHORTS TELA;ROPA;24029;INFANTIL NIÑO;CONJUNTO P/NIÑO INF SHORTS TELA;MINAYA;9/8/2024 00:00;1;24/3/2026 00:00;2
001923;CAMISETA T-6 P/NIÑO INF C/R BLCO;PACER;4034 BLANCO-6;PACER NIÑO INF;CAMISETA P/NIÑO INF PACER C/R BLANCA BASICA;PACER;29/3/2026 00:00;43;;0
001924;CAMISETA T-8 P/NIÑO C/R INF BLCO;PACER;4034 BLANCO-8;PACER NIÑO INF;CAMISETA P/NIÑO INF PACER C/R BLANCA BASICA;PACER;27/4/2026 00:00;499;;0
001920;CAMISETA T-L P/CABALLERO C/V BLCO;PACER;3138 BLANCO-L;PACER HOMBRE;CAMISETA P/HOM PACER C/V BASICA BLANCA;PACER;5/5/2026 00:00;216;;0
001928;CAMISETA T-8 S/MANGA INFANTIL P/NIÑO;PACER;4134 BLANCO-8;PACER NIÑO INF;CAMISETA P/NIÑO INF PACER S/M;PACER;29/3/2026 00:00;15;;0
001443;CREMA FACIAL PONDS 200G CLARANT B3 NORMAL SECA;CUIDADO PERSONAL;30279;HIGIENE PERSONAL;CREMA FACIAL;PONDS;16/4/2026 00:00;822;16/4/2026 00:00;453
001552;ACONDICIONADOR PANTENE 400ML RIZOS DEFINIDOS;CUIDADO PERSONAL;165321;HIGIENE PERSONAL;ACONDICIONADOR;PANTENE;5/2/2026 00:00;537;5/3/2026 00:00;102
001569;CREMA FACIAL PONDS 50G CONTRA ARRUGAS REJUVENESS;CUIDADO PERSONAL;30484;HIGIENE PERSONAL;CREMA FACIAL;PONDS;16/4/2026 00:00;104;16/4/2026 00:00;78
001609;SHAMPOO PANTENE 400ML CUIDADO CLASICO 2EN1;CUIDADO PERSONAL;168995;HIGIENE PERSONAL;SHAMPOO;PANTENE;5/2/2026 00:00;452;5/3/2026 00:00;110
001911;CAMISETA T-M C/R P/CABALLERO BLANCA;PACER;3039 BLANCO-M;PACER HOMBRE;CAMISETA P/HOM PACER C/R BASICA BLANCA;PACER;5/5/2026 00:00;1221;;0
001913;CAMISETA T-XL C/R P/CABALLERO BLANCA;PACER;3039 BLANCO-XL;PACER HOMBRE;CAMISETA P/HOM PACER C/R BASICA BLANCA;PACER;5/5/2026 00:00;159;;0
001914;CAMISETA T-XL P/HOMBRE S/M BLCA;PACER;3539 BLANCO-XL;PACER HOMBRE;CAMISETA P/HOM PACER S/M BLANCA BASICA;PACER;5/5/2026 00:00;683;;0
C060906;SET COLAS P/NIÑA;ACCESORIOS;3652-1215-28;ACCESORIOS DE CABELLO;SET COLAS P/NIÑA;YIWU LYFHON;11/4/2024 00:00;7;5/3/2026 00:00;1
001915;CAMISETA T-L P/HOMBRE S/M BLCA;PACER;3539 BLANCO-L;PACER HOMBRE;CAMISETA P/HOM PACER S/M BLANCA BASICA;PACER;5/5/2026 00:00;1175;;0
001925;CAMISETA T-10 P/NIÑO C/R INF BLCO;PACER;4034 BLANCO-10;PACER NIÑO INF;CAMISETA P/NIÑO INF PACER C/R BLANCA BASICA;PACER;29/3/2026 00:00;128;;0
001415;DESODORANTE GEL GILLETTE 82G COOL WAVE POWER BEADS;CUIDADO PERSONAL;913640;HIGIENE PERSONAL;DESODORANTE P/HOMBRE;GILLETTE;7/5/2026 00:00;780;7/5/2026 00:00;240
001453;JABON BARRA DOVE 135G ORIGINAL;CUIDADO PERSONAL;891190;HIGIENE PERSONAL;JABON D/BAÑO BARRA D/ADULTO;DOVE;25/4/2026 00:00;941;18/4/2026 00:00;133
001550;ACONDICIONADOR PANTENE 400ML CONTROL CAIDA;CUIDADO PERSONAL;303518;HIGIENE PERSONAL;ACONDICIONADOR;PANTENE;5/2/2026 00:00;314;16/4/2026 00:00;111
001572;QUITA ESMALTE ORIGINAL 8ONZ              ;BELLEZA;2001537;ACCESORIOS P/MANOS Y PIES;QUITA ESMALTE;;15/3/2026 00:00;123;15/3/2026 00:00;60
C118733;DESODORANTE AERO REXONA 200ML SHOWER FRESH;CUIDADO PERSONAL;49663;HIGIENE PERSONAL;DESODORANTE P/DAMA;REXONA;24/2/2026 00:00;222;5/3/2026 00:00;72
001573;QUITA ESMALTE LIMON 8ONZ               ;BELLEZA;2001513;ACCESORIOS P/MANOS Y PIES;QUITA ESMALTE;;15/3/2026 00:00;187;15/3/2026 00:00;51
001589;QUITA ESMALTE ORIGINAL 2ONZ;BELLEZA;17620;ACCESORIOS P/MANOS Y PIES;QUITA ESMALTE;;15/3/2026 00:00;68;15/3/2026 00:00;1
001710;CREMA NUTRINE 227G ACONDICIONA EL CABELLO;CUIDADO PERSONAL;2006204;HIGIENE PERSONAL;CREMA P/CABELLO;NUTRINE;15/3/2026 00:00;375;;0
001711;CREMA NUTRINE 120G ACONDICIONA EL CABELLO   ;CUIDADO PERSONAL;2005986;HIGIENE PERSONAL;CREMA P/CABELLO;NUTRINE;15/3/2026 00:00;166;15/3/2026 00:00;56
001910;CAMISETA T-S C/R P/CABALLERO BLANCA;PACER;3039 BLANCO-S;PACER HOMBRE;CAMISETA P/HOM PACER C/R BASICA BLANCA;PACER;1/5/2026 00:00;201;;0
C133204;PANTALON P/DAMA TELA RECTO;ROPA;512-1212A;DAMA;PANTALON P/DAMA TELA RECTO ;CAFE SIETE;5/3/2025 00:00;1;29/4/2026 00:00;8
001919;CAMISETA T-S P/HOMBRE C/V BLCO;PACER;3138 BLANCO-S;PACER HOMBRE;CAMISETA P/HOM PACER C/V BASICA BLANCA;PACER;5/5/2026 00:00;96;;0
002867;BLUMER CARAMELO ALGODON P/NIÑA;INTERIOR DETALLE;BLU-224-LINDA;DI INFANTIL NIÑA;BLUMER P/NIÑA INF ALGODON MEXICANO;LINDA KEER;27/3/2026 00:00;1608;;0
004505;CREMA CORPORAL NUTRIDERM 355ML PIEL EXTRA SECA;CUIDADO PERSONAL;5696;HIGIENE PERSONAL;CREMA CORPORAL;NUTRIDERM;15/3/2026 00:00;32;15/3/2026 00:00;262
004811;CREMA CORPORAL NIVEA 400ML MILK NUTRITIVA;CUIDADO PERSONAL;504535;HIGIENE PERSONAL;CREMA CORPORAL;NIVEA;4/5/2026 00:00;4;5/3/2026 00:00;67
002067;PAÑAL GASA BLANCO FINO;BEBE;PAÑGASA-BLCO;PAÑALES P/BEBE;PAÑAL GASA BLANCO FINO;DAVID SANCHEZ;19/1/2026 00:00;9;;0
002070;PAÑAL GASA ESTAMPADO FINO;BEBE;PAÑGASA-ESTAM;PAÑALES P/BEBE;PAÑAL GASA ESTAMPADO FINO;DAVID SANCHEZ;1/11/2025 00:00;12;31/10/2025 00:00;98
002840;TOALLA DE LIMPIAR CARIBE;HOGAR;TOA-CARIBE;BAÑO;TOALLA DE MANO;DAVID SANCHEZ;4/5/2026 00:00;7272;;0
004626;CAMISETA T-S P/HOMBRE S/M NGRA;PACER;3539 NGRO-S;PACER HOMBRE;CAMISETA P/HOM PACER S/M COLORES;PACER;27/4/2026 00:00;6;;0
006069;FALDA ESCOLAR GABARDINA T-18 ECONOMICA ;ESCOLAR;FALD/UNIFOR-18;UNIFORMES;FALDA ESCOLAR;NEX SCHOOL;22/3/2026 00:00;577;;0
022047;SHAMPOO PANTENE 400ML RIZOS DEFINIDOS;CUIDADO PERSONAL;164645;HIGIENE PERSONAL;SHAMPOO;PANTENE;7/2/2026 00:00;537;16/4/2026 00:00;111
022181;DESODORANTE AERO NIVEA 150ML PEAR&BEAUTY;CUIDADO PERSONAL;837311;HIGIENE PERSONAL;DESODORANTE P/DAMA;NIVEA;4/5/2026 00:00;315;;0
001922;CAMISETA T-4 P/NIÑO INF C/R BLCO;PACER;4034 BLANCO-4;PACER NIÑO INF;CAMISETA P/NIÑO INF PACER C/R BLANCA BASICA;PACER;29/3/2026 00:00;26;;0
001929;CAMISETA T-6 S/MANGA INFANTIL P/NIÑO;PACER;4134 BLANCO-6;PACER NIÑO INF;CAMISETA P/NIÑO INF PACER S/M;PACER;29/3/2026 00:00;146;;0
C063329;PAR GANCHO P/DAMA PINZA;ACCESORIOS;3809-0105-14;ACCESORIOS DE CABELLO;GANCHO P/DAMA PINZA;YIWU LYFHON;17/4/2024 00:00;3;20/8/2025 00:00;1
004504;CREMA CORPORAL NUTRIDERM 355ML PIEL SENSIBLE;CUIDADO PERSONAL;17651;HIGIENE PERSONAL;CREMA CORPORAL;NUTRIDERM;8/1/2026 00:00;12;15/3/2026 00:00;107
002858;BLUMER CARAMELO ALGODON P/NIÑA;INTERIOR DETALLE;BLU-212-LINDA;DI JUVENIL NIÑA;BLUMER P/NIÑA JUV ALGODON MEXICANO;LINDA KEER;27/3/2026 00:00;2833;;0
003332;CREMA CORPORAL NUTRINE 399ML ALGAS MARINAS;CUIDADO PERSONAL;12632;HIGIENE PERSONAL;CREMA CORPORAL;NUTRINE;15/3/2026 00:00;12;15/3/2026 00:00;92
004503;CREMA CORPORAL NUTRIDERM 355ML PIEL NORMAL;CUIDADO PERSONAL;17637;HIGIENE PERSONAL;CREMA CORPORAL;NUTRIDERM;8/1/2026 00:00;374;15/3/2026 00:00;343
004587;CAMISETA T-4 S/MANGA INFANTIL P/NIÑO;PACER;4134 BLANCO-4;PACER NIÑO INF;CAMISETA P/NIÑO INF PACER S/M;PACER;29/3/2026 00:00;16;;0
014513;QUITA ESMALTE FLORAL 4ONZ       ;BELLEZA;29661;ACCESORIOS P/MANOS Y PIES;QUITA ESMALTE;;15/3/2026 00:00;85;15/3/2026 00:00;6
014557;VASELINA P/BEBE 56G C/FRAGANCIA        ;CUIDADO PERSONAL;7546;HIGIENE P/BEBE;VASELINA P/BEBE ;BABY NUTRINE;15/3/2026 00:00;2;15/3/2026 00:00;213
022046;SHAMPOO PANTENE 400ML CONTROL CAIDA;CUIDADO PERSONAL;03464;HIGIENE PERSONAL;SHAMPOO;PANTENE;5/2/2026 00:00;360;16/4/2026 00:00;111
023648;BOXER T-34 P/HOMBRE C/BOTONES NGRO;PACER;7073 NEGRO-34;PACER INTERIOR;BOXER P/HOM PACER BASICO;PACER;6/5/2026 00:00;3;;0
