Division ID;Division;Categoria ID;Categoria;Grupo ID;Grupo;Sugerido AEC;Sugerido DS;Necesidad detalle AEC;Necesidad mayoreo AEC;Necesidad DS;Saldo CDI01;Saldo DSCDI;No. Referencias
10;ACCESORIOS;10001;ACCESORIOS DE BELLEZA;10001001;LENTES P/DAMA;7881;1788;114;132;224;2633;8;25
10;ACCESORIOS;10001;ACCESORIOS DE BELLEZA;10001002;LENTES P/NIÑO;4534;1254;18;57;176;10073;3;57
10;ACCESORIOS;10001;ACCESORIOS DE BELLEZA;10001009;LENTES P/HOMBRE;6680;1938;584;120;578;2675;3;10
10;ACCESORIOS;10001;ACCESORIOS DE BELLEZA;10001010;LENTES P/LEER GENERAL;2718;1178;103;30;297;1941;1;18
10;ACCESORIOS;10001;ACCESORIOS DE BELLEZA;10001013;LENTES P/NIÑA;5766;1614;58;54;303;5396;4;28
10;ACCESORIOS;10001;ACCESORIOS DE BELLEZA;10001036;LENTES D/MODA;2256;762;688;96;281;192;1;1
10;ACCESORIOS;10003;ACCESORIOS PERSONALES;10003001;FAJA P/HOM;1746;528;0;0;;1772;56;14
10;ACCESORIOS;10003;ACCESORIOS PERSONALES;10003002;FAJA P/DAMA;1902;708;6;0;246;426;7;4
10;ACCESORIOS;10003;ACCESORIOS PERSONALES;10003003;FAJA P/NIÑO JUV;1296;330;56;0;9;112;72;1
10;ACCESORIOS;10003;ACCESORIOS PERSONALES;10003005;FAJA P/NIÑO INF;1506;480;0;0;4;2388;12;8
10;ACCESORIOS;10003;ACCESORIOS PERSONALES;10003007;GORRAS P/HOM;10204;3012;46;138;36;32122;11;98
10;ACCESORIOS;10003;ACCESORIOS PERSONALES;10003009;BOLSO P/DAMA VIAJERO;1212;258;43;45;25;1193;34;9
10;ACCESORIOS;10003;ACCESORIOS PERSONALES;10003011;SOMBRERO P/DAMA CASUAL;1836;570;126;27;64;3509;2;13
10;ACCESORIOS;10003;ACCESORIOS PERSONALES;10003012;BOLSO P/NIÑA;1908;444;0;39;;4399;5;25
10;ACCESORIOS;10003;ACCESORIOS PERSONALES;10003013;SOMBRERO P/HOMBRE D/TELA;1452;510;86;9;245;6238;1;21
10;ACCESORIOS;10003;ACCESORIOS PERSONALES;10003015;SOMBRERO P/NIÑO INF;2310;684;219;21;123;703;1;5
